"Index","sfcity_adr","sfcity_days","sfcity_demd","sfcity_demt","sfcity_occ","sfcity_revpar","sfcity_rmrevt","sfcity_supd","sfcity_supt","sfzoneone_adr","sfzoneone_days","sfzoneone_demd","sfzoneone_demt","sfzoneone_occ","sfzoneone_revpar","sfzoneone_rmrevt","sfzoneone_supd","sfzoneone_supt","sfzonetwo_adr","sfzonetwo_days","sfzonetwo_demd","sfzonetwo_demt","sfzonetwo_occ","sfzonetwo_revpar","sfzonetwo_rmrevt","sfzonetwo_supd","sfzonetwo_supt","sfcity_strdays"
2009-04-01,141.450850100973,30,0.0250068333333333,0.750204999999999,0.730980220208515,103.397773555491,106.117135,0.03421,1.0263,149.136546873009,30,0.0219785333333333,0.659356,0.733351128906684,109.369455010566,98.334077,0.02997,0.8991,97.1761308820132,30,0.0024531,0.073593,0.721924661565627,70.1538453992545,7.151483,0.003398,0.10194,30
2009-05-01,141.473635626714,31,0.0249511935483871,0.773487,0.729353801472876,103.184333952532,109.428018,0.03421,1.06051,148.362813408518,31,0.0218474516129032,0.677270999999999,0.728977364461234,108.153132702595,100.481831,0.02997,0.92907,93.1431117401161,31,0.00246164516129032,0.076311,0.724439423569842,67.4765421785111,7.107844,0.003398,0.105338,31
2009-06-01,136.038806270195,30,0.0271932,0.815796,0.794890382928968,108.135938809315,110.979914,0.03421,1.0263,142.276579587935,30,0.0239234333333333,0.717703,0.798246023801579,113.571713936158,102.112328,0.02997,0.8991,110.245833548321,30,0.00258413333333333,0.077524,0.760486560721993,83.8404747890916,8.546698,0.003398,0.10194,30
2009-07-01,140.032362265691,31,0.029080064516129,0.901482,0.850045732713506,119.033911985743,126.236654,0.03421,1.06051,146.279784766347,31,0.0254906774193548,0.790211,0.850539787098927,124.416776992046,115.591895,0.02997,0.92907,101.939185002422,31,0.00286325806451613,0.088761,0.842630389792857,85.8970551937572,9.048224,0.003398,0.105338,31
2009-08-01,137.90493913222,31,0.0301711612903226,0.935306,0.881939821406682,121.623857389369,128.983317,0.03421,1.06051,143.728937299914,31,0.0264402580645161,0.819648,0.882224159643515,126.801140925872,117.807136,0.02997,0.92907,93.2928156474139,31,0.00298183870967742,0.092437,0.877527577892119,81.8670185498111,8.623708,0.003398,0.105338,31
2009-09-01,160.504600875211,30,0.0293567333333333,0.880702,0.858133099483582,137.73431063042,141.356723,0.03421,1.0263,168.383754526593,30,0.0258656666666667,0.77597,0.863051940829719,145.323926148371,130.660742,0.02997,0.8991,114.54190401595,30,0.0028088,0.084264,0.826603884638022,94.6807828134197,9.651759,0.003398,0.10194,30
2009-10-01,183.150118324931,31,0.029157,0.903867,0.850306211723535,155.733683289589,165.543348,0.03429,1.06299,191.748617515547,31,0.0258417419354839,0.801094,0.859958134292308,164.8957833718,153.608667,0.03005,0.93155,59.5829241809083,31,0.00273316129032258,0.084728,0.804344111336839,47.925174201143,5.048342,0.003398,0.105338,31
2009-11-01,142.12520807796,30,0.0227879333333333,0.683637999999999,0.672329419169567,95.5549585964084,97.162193,0.033894,1.01682,148.842790344177,30,0.0204381,0.613143,0.680136439267887,101.233405435385,91.261915,0.03005,0.9015,79.4616248047892,30,0.00204906666666667,0.061472,0.603021385128507,47.9170590543457,4.884665,0.003398,0.10194,30
2009-12-01,126.715773784215,31,0.0208633225806452,0.646763,0.615546190495225,77.999411828528,81.955074,0.033894,1.050714,132.338593274929,31,0.0185986774193548,0.576559,0.618924373356234,81.9075809135311,76.3010069999999,0.03005,0.93155,74.5091769127343,31,0.00199132258064516,0.061731,0.586027834209877,43.6644515749302,4.599526,0.003398,0.105338,31
2010-01-01,140.308272928867,31,0.0205692258064516,0.637645999999999,0.606887139127595,85.1512863537337,89.467009,0.033893,1.050683,147.445795000237,31,0.0184047419354839,0.570547,0.61249099588951,90.3092218194154,84.124756,0.030049,0.931519,74.1864112086428,31,0.00191096774193548,0.05924,0.562380147714975,41.7209648939604,4.394803,0.003398,0.105338,31
2010-02-01,135.850290295825,28,0.0224770714285714,0.629358,0.663177394405081,90.0928415475593,85.498467,0.033893,0.949004,142.128348456965,28,0.0202025357142857,0.565671,0.672319734909172,95.5556935576653,80.397885,0.030049,0.841372,102.715496324841,28,0.00200185714285714,0.056052,0.58912805852182,60.5125809299588,5.757409,0.003398,0.095144,28
2010-03-01,138.718650465357,31,0.0249548387096774,0.773599999999999,0.736348147231555,102.145221256627,107.312748,0.03389,1.05059,145.427818018151,31,0.0223255161290323,0.692091,0.743044536012523,108.05934556261,100.649284,0.030046,0.931426,82.0936563436563,31,0.00232490322580645,0.072072,0.684197535552222,56.1682773548007,5.916654,0.003398,0.105338,31
2010-04-01,136.812916788968,30,0.0258924,0.776771999999999,0.764012983180878,104.526844693617,106.272443,0.03389,1.0167,142.639183804609,30,0.0232395333333333,0.697186,0.773465131243205,110.326435021855,99.446042,0.030046,0.90138,103.702808156756,30,0.0023408,0.0702239999999999,0.688875809299587,71.4383558956249,7.282426,0.003398,0.10194,30
2010-05-01,149.477609987239,31,0.0268704193548387,0.832983,0.792871624515748,118.516555459313,124.512308,0.03389,1.05059,155.867006522329,31,0.0240266451612903,0.744826,0.799662023606814,124.640925849182,116.093799,0.030046,0.931426,95.8719695993818,31,0.00250419354838709,0.0776299999999999,0.736961020714271,70.653904573848,7.442541,0.003398,0.105338,31
2010-06-01,141.983884134805,30,0.0277656,0.832968,0.820981667652277,116.56616597674,118.268032,0.03382,1.0146,147.131525729012,30,0.0248727,0.746181,0.827820674965054,121.798518937629,109.786749,0.030046,0.90138,118.275860734011,30,0.00258306666666666,0.0774919999999999,0.760172650578771,89.910074553659,9.165433,0.003398,0.10194,30
2010-07-01,147.463612925746,31,0.0292030322580645,0.905294,0.863484099883634,127.332485072776,133.497924,0.03382,1.04842,152.898771748985,31,0.0259745161290323,0.80521,0.864491650437072,132.179711539081,123.11562,0.030046,0.931426,109.353779519669,31,0.0028971935483871,0.089813,0.852617289107445,93.2369230477131,9.821391,0.003398,0.105338,31
2010-08-01,152.531014269476,31,0.0309051290322581,0.958059,0.913812212662864,139.384703649301,146.133711,0.03382,1.04842,158.303859190036,31,0.0275145483870968,0.852951,0.915747466787485,144.966358035958,135.025435,0.030046,0.931426,103.689927158768,31,0.00304683870967742,0.094452,0.896656477244679,92.9742448119387,9.793721,0.003398,0.105338,31
2010-09-01,175.20920765448,30,0.0294450666666667,0.883352,0.870640646560221,152.5442578356,154.771404,0.03382,1.0146,182.860010157104,30,0.0261885666666667,0.785657,0.871615744746944,159.383663937518,143.665247,0.030046,0.90138,105.772317099604,30,0.0029219,0.087657,0.859888169511477,90.9523641357661,9.271684,0.003398,0.10194,30
2010-10-01,178.798925286535,31,0.0293551612903226,0.91001,0.868007962693237,155.198890869706,162.70881,0.033819,1.048389,187.060303695105,31,0.0262317419354839,0.813184,0.873052717016703,163.313506386981,152.114446,0.030046,0.931426,63.1666705162259,31,0.00279322580645161,0.08659,0.822262527657231,51.9395861623634,5.469602,0.003397,0.105307,31
2010-11-01,145.265671637503,30,0.0232064666666667,0.696194,0.686196122495244,99.6807406093222,101.133089,0.033819,1.01457,151.941876911101,30,0.0208104333333333,0.624312999999999,0.69261909516519,105.237845303867,94.859289,0.030046,0.90138,95.7784315873488,30,0.00212996666666667,0.063899,0.62701403198901,60.0544205671671,6.120146,0.003397,0.10191,30
2010-12-01,144.637164614051,31,0.0226592580645161,0.702436999999999,0.672680957830372,97.2946664304491,101.598496,0.033685,1.044235,150.952741599739,31,0.020223064516129,0.626914999999999,0.676085334184575,102.056934750537,94.634538,0.029912,0.927272,84.3177129646098,31,0.00217664516129032,0.0674759999999999,0.640755125490232,54.0270067516879,5.689422,0.003397,0.105307,31
2011-01-01,159.677171191825,31,0.0226261935483871,0.701411999999999,0.671998620385716,107.302838748,111.999484,0.03367,1.04377,167.835990000923,31,0.0202857419354838,0.628857999999999,0.678180727984884,113.823133880889,105.545005,0.029912,0.927272,85.3030112827423,31,0.00210712903225806,0.0653209999999999,0.62029114873655,52.9127028592591,5.572078,0.003397,0.105307,31
2011-02-01,161.535928755856,28,0.0244551428571428,0.684743999999999,0.726318469175611,117.326528490814,110.610758,0.03367,0.94276,169.417616861361,28,0.0219911071428571,0.615751,0.735193472280595,124.554726005808,104.319067,0.029912,0.837536,111.597774883841,28,0.00222139285714286,0.062199,0.653927835485092,72.9768913747424,6.94127,0.003397,0.095116,28
2011-03-01,158.412283529728,31,0.0254150967741935,0.787868,0.754806711240936,119.570654751241,124.807969,0.033671,1.043801,165.98508144487,31,0.0227385161290322,0.704893999999999,0.760154987096989,126.174387444018,117.001888,0.029913,0.927303,98.9078671492102,31,0.00241551612903225,0.0748809999999999,0.711073337954741,70.330747243773,7.40632,0.003397,0.105307,31
2011-04-01,150.010427557714,30,0.0263340666666666,0.790021999999999,0.78209933374912,117.323055448309,118.511538,0.033671,1.01013,155.974945686404,30,0.0235515,0.706544999999999,0.78733326647277,122.804263475189,110.203318,0.029913,0.89739,131.419530438949,30,0.00250446666666667,0.075134,0.737258365224217,96.8901481699538,9.87407499999999,0.003397,0.10191,30
