"Index","sfcity_adr","sfcity_days","sfcity_demd","sfcity_demt","sfcity_occ","sfcity_revpar","sfcity_rmrevt","sfcity_supd","sfcity_supt","sfzoneone_adr","sfzoneone_days","sfzoneone_demd","sfzoneone_demt","sfzoneone_occ","sfzoneone_revpar","sfzoneone_rmrevt","sfzoneone_supd","sfzoneone_supt","sfzonetwo_adr","sfzonetwo_days","sfzonetwo_demd","sfzonetwo_demt","sfzonetwo_occ","sfzonetwo_revpar","sfzonetwo_rmrevt","sfzonetwo_supd","sfzonetwo_supt","sfcity_strdays"
2009-01-01,145.49742915723,90,0.0209399555555556,1.884596,0.613040225360909,89.1957767599815,274.203873,0.0341575555555556,3.07418,154.360853034418,90,0.0183934222222222,1.655408,0.614803645574133,94.9016151794933,255.530191,0.0299175555555556,2.69258,87.4722078579948,90,0.00210571111111111,0.189514,0.619691321692498,54.2057680988817,16.577208,0.003398,0.30582,90
2009-04-01,139.57116557127,91,0.0257086593406593,2.339488,0.751495449887733,104.887095862337,326.525067,0.03421,3.11311,146.484856863308,91,0.0225750549450549,2.05433,0.75325508658842,110.340463540464,300.928236,0.02997,2.72727,100.278000070352,91,0.00249920879120879,0.227428,0.735494052739491,73.7538726723541,22.806025,0.003398,0.309218,91
2009-07-01,145.934923035595,92,0.0295379347826087,2.71749,0.863429838719927,126.004567060229,396.576694,0.03421,3.14732,152.592567614863,92,0.0259329239130435,2.385829,0.865296093194644,132.03775260768,364.059773,0.02997,2.75724,102.928822204308,92,0.00288545652173913,0.265462,0.849163190623641,87.4033670701436,27.323691,0.003398,0.312616,92
2009-10-01,154.261089090476,92,0.0242855217391304,2.234268,0.713704159431456,110.096780922299,344.660615,0.0340274347826087,3.130524,161.328227000657,92,0.0216390869565217,1.990796,0.720102727338494,116.172896259857,321.171589,0.03005,2.7646,69.8911321544166,92,0.00226011956521739,0.207931,0.665132302889168,46.4868496813983,14.532533,0.003398,0.312616,92
2010-01-01,138.330721688285,90,0.0226733777777778,2.040604,0.668989734374943,92.5418327581397,282.278224,0.0338919666666667,3.050277,145.036711518677,90,0.0203145444444444,1.828309,0.676070519839205,98.0550449522005,265.171925,0.0300479666666667,2.704317,85.7628253026195,90,0.00208182222222222,0.187364,0.612661042443267,52.5435419527827,16.068866,0.003398,0.30582,90
2010-04-01,142.894950839698,91,0.0268431098901099,2.442723,0.792605511552975,113.259325608636,349.052783,0.0338669230769231,3.08189,148.673627052093,91,0.0240460769230769,2.188193,0.800308757341307,118.984805715485,325.32659,0.030046,2.734186,106.01652569826,91,0.00247632967032967,0.225346,0.72876093888454,77.2607028051407,23.8904,0.003398,0.309218,91
2010-07-01,158.154238988169,92,0.0298554891304348,2.746705,0.882776142236392,139.614788972309,434.403039,0.03382,3.11144,164.41744106967,92,0.0265632391304348,2.443818,0.884085706264887,145.359109510345,401.806302,0.030046,2.764232,106.231919447489,92,0.00295567391304348,0.271922,0.869827520024567,92.4034470404586,28.886796,0.003398,0.312616,92
2010-10-01,158.292430481829,92,0.0250939239130435,2.308641,0.74299866696447,117.611064838565,365.440395,0.033773847826087,3.107194,165.474853372292,92,0.0224392608695652,2.064412,0.747954224482061,123.767615625356,341.608273,0.030000847826087,2.760078,79.2749753400776,92,0.00236918478260869,0.217965,0.697434437035235,55.2890977972892,17.27917,0.003397,0.312524,92
2011-01-01,159.804220652578,90,0.0241558222222222,2.174024,0.717421298201417,114.646951438638,347.418211,0.0336703444444445,3.030331,167.666302642263,90,0.0216611444444444,1.949503,0.724154018909324,121.416226894062,326.86596,0.0299123444444444,2.692111,98.4168457665724,90,0.0022489,0.202401,0.662025316455696,65.1544434631865,19.919668,0.003397,0.30573,90
2011-04-01,165.482410167784,91,0.0277489230769231,2.525152,0.824321134876609,136.410648151624,417.868239,0.0336627582417582,3.063311,172.043127213516,91,0.0247542637362637,2.252638,0.827770067095793,142.412150956902,387.550886,0.0299047582417582,2.721333,130.052903719627,91,0.00269907692307692,0.245616,0.794547224926972,103.333173744125,31.943074,0.003397,0.309127,91
